Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,11,R. Tannehill QB - MIA ,14.82,J. Starks RB - GB ,4.40,J. Langford RB - CHI ,10.20,T. Hilton WR - IND ,2.10,J. Landry WR - MIA ,6.60,J. Reed TE - WAS ,2.60,J. Forsett RB - BAL ,2.60,C. Santos K - KC ,9.00,Panthers DEF ,16.00,C. Johnson RB - ARI ,6.50,E. Sanders WR - DEN ,0.00,G. Tate WR - DET ,7.10,C. Palmer QB - ARI ,24.58,T. Benjamin WR - CLE ,0.00,J. Brown K - NYG ,0.00,68.32,Greg,84.74
david,1,C. Newton QB - CAR ,31.44,G. Bernard RB - CIN ,14.60,C. Sims RB - TB ,12.90,A. Green WR - CIN ,7.90,D. Hopkins WR - HOU ,23.80,G. Olsen TE - CAR ,11.40,A. Boldin WR - SF ,9.30,G. Gano K - CAR ,14.00,Bills DEF ,4.00,M. Forte RB - CHI ,0.00,D. Amendola WR - NE ,11.70,R. Mathews RB - PHI ,0.00,D. Brees QB - NO ,0.00,M. Floyd WR - LAC ,0.00,Falcons DEF ,9.00,129.34,Peter,43.68
Ryan,3,T. Romo QB - DAL ,13.28,C. Ivory RB - NYJ ,4.50,T. Rawls RB - SEA ,39.50,S. Johnson WR - LAC ,5.40,C. Johnson WR - DET ,8.80,D. Walker TE - TEN ,10.90,S. Diggs WR - MIN ,6.60,B. McManus K - DEN ,5.00,Chiefs DEF ,20.00,A. Dalton QB - CIN ,22.00,S. Draughn RB - SF ,7.70,M. Lynch RB - SEA ,0.00,B. Roethlisberger QB - PIT ,0.00,C. Anderson RB - DEN ,7.20,J. Ajayi RB - MIA ,3.60,113.98,Raed,71.76
alex,5,M. Stafford QB - DET ,20.38,L. McCoy RB - BUF ,18.30,A. Andrews RB - TEN ,9.40,J. Maclin WR - KC ,2.90,R. Woods WR - BUF ,4.40,C. Gillmore TE - BAL ,10.10,K. Williams RB - BUF ,1.10,J. Tucker K - BAL ,10.00,Eagles DEF ,-1.00,G. Barnidge TE - CLE ,0.00,V. Jackson WR - TB ,11.60,A. Brown WR - PIT ,0.00,M. Floyd WR - ARI ,0.00,B. Osweiler QB - DEN ,18.40,C. Hyde RB - SF ,0.00,75.58,Kevin,87.22
Alessandro,8,M. Ryan QB - ATL ,17.90,D. Woodhead RB - LAC ,1.60,A. Morris RB - WAS ,0.00,E. Decker WR - NYJ ,8.10,T. Austin WR - STL ,0.10,C. Clay TE - BUF ,1.40,M. Evans WR - TB ,12.30,B. Walsh K - MIN ,1.00,Dolphins DEF ,7.00,J. Flacco QB - BAL ,11.96,M. Ingram RB - NO ,0.00,S. Vereen RB - NYG ,0.00,B. Marshall WR - NYJ ,10.70,A. Blue RB - HOU ,15.20,Steelers DEF ,0.00,49.40,michael,49.18
johnny,2,B. Bortles QB - JAC ,10.58,J. Stewart RB - CAR ,17.40,T. Gurley RB - STL ,10.60,D. Baldwin WR - SEA ,6.00,A. Robinson WR - JAC ,11.30,R. Gronkowski TE - NE ,3.70,E. Lacy RB - GB ,10.60,M. Crosby K - GB ,18.00,Broncos DEF ,7.00,M. Colston WR - NO ,0.00,P. Rivers QB - LAC ,5.92,R. Randle WR - NYG ,0.00,Z. Ertz TE - PHI ,1.20,B. Cooks WR - NO ,0.00,Texans DEF ,8.00,95.18,christian,66.90
christian,4,P. Manning QB - DEN ,0.00,D. Martin RB - TB ,25.50,D. Freeman RB - ATL ,4.30,B. LaFell WR - NE ,6.60,D. Thomas WR - DEN ,11.90,J. Witten TE - DAL ,2.70,A. Hurns WR - JAC ,1.90,D. Carpenter K - BUF ,9.00,Cardinals DEF ,5.00,J. Jones WR - ATL ,16.00,A. Gates TE - LAC ,0.60,F. Gore RB - IND ,6.00,N. Foles QB - STL ,0.00,M. Sanu WR - CIN ,2.10,T. Williams WR - DAL ,13.90,66.90,johnny,95.18
michael,10,T. Brady QB - NE ,13.08,L. Miller RB - MIA ,5.50,A. Ellington RB - ARI ,0.70,K. Britt WR - STL ,2.40,A. Jeffery WR - CHI ,0.00,M. Bennett TE - CHI ,2.60,S. Watkins WR - BUF ,3.90,R. Gould K - CHI ,9.00,Packers DEF ,12.00,J. Charles RB - KC ,0.00,S. Bradford QB - PHI ,0.00,D. Williams RB - PIT ,0.00,B. Watson TE - NO ,0.00,D. Moncrief WR - IND ,4.10,S. Janikowski K - LV ,9.00,49.18,Alessandro,49.40
Kevin,9,T. Taylor QB - BUF ,9.42,R. Hillman RB - DEN ,10.40,J. Hill RB - CIN ,16.50,D. Adams WR - GB ,3.60,J. Brown WR - ARI ,11.20,T. Eifert TE - CIN ,14.20,M. Gordon RB - LAC ,4.90,C. Barth K - TB ,9.00,Patriots DEF ,8.00,E. Manning QB - NYG ,0.00,M. Jones WR - CIN ,6.00,T. Riddick RB - DET ,8.60,O. Beckham WR - NYG ,0.00,W. Snead WR - NO ,0.00,D. Cobb RB - TEN ,-0.30,87.22,alex,75.58
Raed,6,D. Carr QB - LV ,7.56,D. McFadden RB - DAL ,14.90,C. West RB - KC ,6.40,M. Crabtree WR - LV ,5.00,D. Bryant WR - DAL ,10.50,T. Kelce TE - KC ,4.60,L. Murray RB - LV ,8.80,S. Gostkowski K - NE ,8.00,Seahawks DEF ,6.00,V. Davis TE - DEN ,6.80,W. Welker WR - STL ,1.30,J. Jones WR - GB ,18.90,K. Aiken WR - BAL ,11.00,R. Matthews WR - MIA ,1.50,A. Luck QB - IND ,0.00,71.76,Ryan,113.98
