Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,4,D. Brees QB - NO ,4.48,T. Rawls RB - SEA ,7.40,R. Kelley RB - WAS ,14.80,J. Nelson WR - GB ,16.10,T. Pryor WR - CLE ,0.30,A. Gates TE - LAC ,6.10,I. Crowell RB - CLE ,11.80,W. Lutz K - NO ,9.00,Falcons DEF ,26.00,T. Hightower RB - NO ,3.90,C. Beasley WR - DAL ,4.10,D. Hopkins WR - HOU ,3.30,S. Watkins WR - BUF ,11.40,D. Prescott QB - DAL ,6.70,Patriots DEF ,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.98,Greg,98.06
david,8,C. Palmer QB - ARI ,10.30,L. Murray RB - LV ,16.30,D. Freeman RB - ATL ,1.80,D. Thomas WR - DEN ,12.60,M. Floyd WR - NE ,1.80,T. Eifert TE - CIN ,16.80,B. LaFell WR - CIN ,2.20,C. Sturgis K - PHI ,10.00,Bills DEF ,6.00,R. Mathews RB - PHI ,6.00,K. Rudolph TE - MIN ,12.00,A. Jeffery WR - CHI ,0.00,E. Rogers WR - PIT ,2.00,C. Wentz QB - PHI ,13.06,C. Coleman WR - CLE ,2.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.80,-,-
Ryan,1,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,M. Stafford QB - DET ,16.42,D. Murray RB - TEN ,15.20,A. Green WR - CIN ,0.00,J. Jones WR - ATL ,0.00,D. Williams RB - PIT ,0.00,L. Green TE - PIT ,2.50,L. Bell RB - PIT ,49.80,S. Ware RB - KC ,6.30,E. Ebron TE - DET ,3.20,J. Winston QB - TB ,8.96,M. Gordon RB - LAC ,0.50,S. Diggs WR - MIN ,5.50,M. Thomas WR - NO ,0.00,D. Bailey K - DAL ,1.00,Vikings DEF ,5.00,0.00,-,-
alex,2,T. Brady QB - NE ,28.14,L. McCoy RB - BUF ,16.80,E. Elliott RB - DAL ,10.70,B. Cooks WR - NO ,6.10,T. Hill WR - KC ,10.80,J. Graham TE - SEA ,1.60,L. Fitzgerald WR - ARI ,1.20,J. Tucker K - BAL ,13.00,--empty--,-,S. Smith WR - BAL ,5.70,M. Gillislee RB - BUF ,3.40,J. Reed TE - WAS ,1.00,B. Bortles QB - JAX ,15.58,T. Yeldon RB - JAX ,9.00,Rams DEF ,1.00,Dolphins DEF ,11.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.34,-,-
Alessandro,10,M. Ryan QB - ATL ,21.48,J. Stewart RB - CAR ,12.60,M. Asiata RB - MIN ,9.10,M. Crabtree WR - LV ,2.10,K. Benjamin WR - CAR ,1.10,C. Fleener TE - NO ,0.60,J. Crowder WR - WAS ,3.70,M. Bryant K - ATL ,6.00,Cardinals DEF ,7.00,K. Britt WR - LA ,8.20,R. Matthews WR - TEN ,2.60,K. Wright WR - TEN ,0.00,C. Michael RB - GB ,3.60,M. Mariota QB - TEN ,7.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.68,Daniel,59.80
Daniel,11,R. Wilson QB - SEA ,5.50,T. Riddick RB - DET ,0.00,J. White RB - NE ,8.40,J. Landry WR - MIA ,8.30,D. Adams WR - GB ,16.40,R. Gronkowski TE - NE ,0.00,M. Wallace WR - BAL ,5.20,M. Crosby K - GB ,8.00,Steelers DEF ,8.00,J. Charles RB - KC ,0.00,D. Pitta TE - BAL ,1.80,E. Sanders WR - DEN ,16.00,E. Manning QB - NYG ,5.52,K. Stills WR - MIA ,15.70,M. Jones RB - WAS ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.80,Alessandro,63.68
Neil,6,B. Roethlisberger QB - PIT ,2.60,F. Gore RB - IND ,13.40,C. Hyde RB - SF ,26.00,D. Bryant WR - DAL ,-1.00,T. Hilton WR - IND ,17.50,T. Kelce TE - KC ,10.10,M. Mitchell WR - NE ,10.10,S. Gostkowski K - NE ,4.00,Seahawks DEF ,-3.00,T. Taylor QB - BUF ,15.32,C. Ivory RB - JAX ,0.00,J. Matthews WR - PHI ,7.90,A. Robinson WR - JAX ,1.70,W. Snead WR - NO ,8.50,P. Perkins RB - NYG ,4.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.70,Peter,73.04
michael,12,A. Dalton QB - CIN ,16.90,M. Forte RB - NYJ ,0.80,T. Gurley RB - LA ,14.30,K. Aiken WR - BAL ,1.00,J. Brown WR - ARI ,0.00,D. Walker TE - TEN ,3.80,T. West RB - BAL ,2.60,C. Santos K - KC ,3.00,Broncos DEF ,6.00,J. Maclin WR - KC ,1.60,Z. Miller TE - CHI ,0.00,P. Rivers QB - LAC ,7.44,D. Martin RB - TB ,14.50,J. McKinnon RB - MIN ,6.90,Ravens DEF ,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.40,Kevin,64.38
Kevin,9,D. Carr QB - LV ,4.98,L. Miller RB - HOU ,18.20,T. Coleman RB - ATL ,17.50,M. Evans WR - TB ,4.20,D. Moncrief WR - IND ,0.00,C. Brate TE - TB ,4.70,T. Williams WR - LAC ,6.80,D. Hopkins K - WAS ,3.00,Lions DEF ,5.00,J. Forsett RB - DEN ,1.50,C. Kaepernick QB - SF ,11.62,R. Cobb WR - GB ,3.30,M. Jones WR - DET ,6.70,K. Dixon RB - BAL ,14.10,W. Smallwood RB - PHI ,0.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.38,michael,48.40
Raed,7,A. Rodgers QB - GB ,21.24,B. Powell RB - NYJ ,29.90,J. Howard RB - CHI ,11.00,B. Marshall WR - NYJ ,3.30,A. Brown WR - PIT ,7.80,C. Fiedorowicz TE - HOU ,3.20,J. Edelman WR - NE ,7.30,G. Gano K - CAR ,14.00,Chiefs DEF ,11.00,M. Bennett TE - NE ,13.00,T. Benjamin WR - LAC ,-0.20,T. Siemian QB - DEN ,17.36,C. Meredith WR - CHI ,13.20,D. Henry RB - TEN ,4.70,Chargers DEF ,4.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108.74,-,-
Peter,3,A. Luck QB - IND ,16.24,L. Blount RB - NE ,13.90,D. Johnson RB - ARI ,12.10,D. Baldwin WR - SEA ,4.60,A. Cooper WR - LV ,2.90,J. Witten TE - DAL ,2.60,G. Tate WR - DET ,5.70,A. Vinatieri K - IND ,5.00,Eagles DEF ,10.00,D. Lewis RB - NE ,1.90,R. Tannehill QB - MIA ,17.80,A. Hurns WR - JAX ,0.00,D. Booker RB - DEN ,1.10,C. Prosise RB - SEA ,0.00,B. McManus K - DEN ,4.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.04,Neil,79.70
Greg,5,K. Cousins QB - WAS ,15.96,J. Hill RB - CIN ,20.20,J. Ajayi RB - MIA ,6.30,D. Jackson WR - WAS ,16.20,O. Beckham WR - NYG ,15.40,G. Olsen TE - CAR ,8.70,M. Ingram RB - NO ,2.30,S. Hauschka K - SEA ,4.00,Bengals DEF ,9.00,R. Jennings RB - NYG ,5.70,J. Thomas TE - JAX ,0.00,C. Newton QB - CAR ,11.50,D. Sproles RB - PHI ,10.00,T. Ginn WR - CAR ,2.60,T. Austin WR - LA ,8.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.06,Peter,95.98
