Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Peter,2,K. Cousins QB - MIN ,14.14,D. Freeman RB - ATL ,4.10,A. Blue RB - HOU ,11.90,O. Beckham WR - NYG ,23.38,B. Cooks WR - LA ,0.00,J. Cook TE - LV ,2.00,J. Smith-Schuster WR - PIT ,9.40,C. Boswell K - PIT ,5.00,Jets DEF ,7.00,M. Stafford QB - DET ,15.22,L. Miller RB - HOU ,0.00,T. Coleman RB - ATL ,3.00,T. Boyd WR - CIN ,4.40,K. Cole WR - JAX ,7.00,K. Coutee WR - HOU ,11.30,-,-,76.92,Daniel,65.60
david,6,C. Newton QB - CAR ,16.38,L. McCoy RB - BUF ,10.80,J. Ajayi RB - PHI ,1.40,D. Hopkins WR - HOU ,13.10,R. Woods WR - LA ,14.50,Z. Ertz TE - PHI ,17.00,J. Edelman WR - NE ,5.70,M. Bryant K - ATL ,5.00,Patriots DEF ,7.00,J. Flacco QB - BAL ,11.22,D. Jackson WR - TB ,0.00,D. Amendola WR - MIA ,3.00,M. Sanu WR - ATL ,13.30,G. Bernard RB - CIN ,0.00,J. Allen RB - BAL ,5.80,-,-,90.88,Jeremy,88.80
Ryan,7,A. Dalton QB - CIN ,12.92,J. Conner RB - PIT ,30.50,S. Barkley RB - NYG ,24.90,J. Jones WR - ATL ,6.20,K. Golladay WR - DET ,15.80,J. Reed TE - WAS ,2.10,J. Mixon RB - CIN ,17.50,--empty--,-,Titans DEF ,7.00,D. Baldwin WR - SEA ,0.10,R. Wilson QB - SEA ,19.92,K. Stills WR - MIA ,1.70,Q. Enunwa WR - NYJ ,0.00,D. Njoku TE - CLE ,6.90,M. Breida RB - SF ,12.10,G. Zuerlein K - LA ,0.00,116.92,Kevin,103.22
alex,1,J. Goff QB - LA ,14.34,M. Lynch RB - LV ,4.10,E. Elliott RB - DAL ,8.40,A. Green WR - CIN ,11.20,T. Hill WR - KC ,8.70,E. Ebron TE - IND ,22.50,C. Davis WR - TEN ,4.90,J. Tucker K - BAL ,9.00,Ravens DEF ,11.00,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,0.00,D. Carr QB - LV ,13.22,C. Carson RB - SEA ,12.70,A. Callaway WR - CLE ,2.20,Vikings DEF ,13.00,-,-,94.14,michael,127.06
Alessandro,4,C. Wentz QB - PHI ,21.04,A. Kamara RB - NO ,3.90,P. Lindsay RB - DEN ,8.10,K. Allen WR - LAC ,9.50,A. Thielen WR - MIN ,17.60,J. James TE - PIT ,2.00,D. Thomas WR - HOU ,16.50,S. Gostkowski K - NE ,8.00,Jaguars DEF ,5.00,M. Ingram RB - NO ,19.30,R. Fitzpatrick QB - TB ,0.00,C. Thompson RB - WAS ,6.20,J. Doctson WR - WAS ,0.00,G. Allison WR - GB ,0.00,E. Engram TE - NYG ,0.00,-,-,91.64,Neil,89.70
Daniel,12,B. Roethlisberger QB - PIT ,21.60,F. Gore RB - MIA ,6.30,J. Wilkins RB - IND ,2.80,M. Jones WR - DET ,6.80,W. Fuller WR - HOU ,1.50,T. Kelce TE - KC ,10.00,M. Crabtree WR - BAL ,6.60,J. Lambo K - JAX ,2.00,Saints DEF ,8.00,D. Sproles RB - PHI ,0.00,J. Gordon WR - NE ,11.00,T. Riddick RB - DET ,2.30,L. Bell RB - PIT ,0.00,P. Richardson WR - WAS ,5.00,D. Prescott QB - DAL ,11.72,-,-,65.60,Peter,76.92
Neil,8,M. Ryan QB - ATL ,14.40,T. Gurley RB - LA ,29.30,R. Freeman RB - DEN ,4.70,S. Watkins WR - KC ,7.80,D. Westbrook WR - JAX ,5.50,J. Doyle TE - IND ,0.00,S. Michel RB - NE ,17.00,M. Prater K - DET ,7.00,Broncos DEF ,4.00,D. Brees QB - NO ,26.72,M. Evans WR - TB ,0.00,A. Robinson WR - CHI ,0.00,J. Howard RB - CHI ,0.00,O. Howard TE - TB ,0.00,J. Williams RB - GB ,7.20,-,-,89.70,Alessandro,91.64
michael,9,P. Rivers QB - LAC ,21.36,I. Crowell RB - NYJ ,31.10,C. McCaffrey RB - CAR ,15.30,A. Brown WR - PIT ,22.10,A. Jeffery WR - PHI ,3.90,J. Graham TE - GB ,7.60,J. White RB - NE ,13.70,R. Gould K - SF ,0.00,Panthers DEF ,12.00,D. Bryant WR - NO ,0.00,B. Powell RB - NYJ ,7.90,L. Fitzgerald WR - ARI ,3.50,A. Luck QB - IND ,22.60,T. Eifert TE - CIN ,0.00,Seahawks DEF ,4.00,-,-,127.06,alex,94.14
Kevin,3,P. Mahomes QB - KC ,15.82,C. Hyde RB - JAX ,7.70,K. Hunt RB ,15.40,G. Tate WR - PHI ,4.20,C. Kupp WR - LA ,15.00,G. Kittle TE - SF ,8.30,D. Lewis RB - TEN ,2.80,H. Butker K - KC ,12.00,Bengals DEF ,22.00,T. Hilton WR - IND ,0.00,A. Morris RB - SF ,9.10,D. Cook RB - MIN ,0.00,C. Godwin WR - TB ,0.00,M. Williams WR - LAC ,4.80,Bears DEF ,0.00,-,-,103.22,Ryan,116.92
Jeremy,10,D. Watson QB - HOU ,21.00,T. Yeldon RB - JAX ,18.20,D. Henry RB - TEN ,5.60,S. Diggs WR - MIN ,11.60,M. Thomas WR - NO ,7.40,K. Rudolph TE - MIN ,4.10,J. Landry WR - CLE ,6.90,W. Lutz K - NO ,7.00,Texans DEF ,7.00,J. Nelson WR - LV ,10.30,B. Marshall WR ,0.00,A. Smith QB - WAS ,13.70,C. Anderson RB - LA ,0.90,L. Fournette RB - JAX ,0.00,M. Mack RB - IND ,0.00,-,-,88.80,david,90.88
Peter,5,A. Rodgers QB - GB ,30.68,A. Peterson RB - WAS ,4.20,M. Gordon RB - LAC ,18.00,D. Adams WR - GB ,20.00,C. Ridley WR - ATL ,3.80,V. McDonald TE - PIT ,0.60,A. Jones RB - GB ,5.90,M. Crosby K - GB ,3.00,Rams DEF ,1.00,J. Brown WR - BAL ,5.80,T. Burton TE - CHI ,0.00,N. Agholor WR - PHI ,4.50,A. Collins RB - BAL ,6.60,A. Ekeler RB - LAC ,11.90,K. Johnson RB - DET ,8.50,-,-,87.18,Greg,100.14
Greg,11,T. Brady QB - NE ,27.54,D. Johnson RB - ARI ,19.10,N. Hines RB - IND ,9.00,E. Sanders WR - DEN ,7.20,S. Shepard WR - NYG ,7.50,R. Gronkowski TE - NE ,7.50,D. Funchess WR - CAR ,5.30,J. Elliott K - PHI ,7.00,Browns DEF ,10.00,T. Ginn WR - NO ,0.00,T. Lockett WR - SEA ,16.40,A. Cooper WR - DAL ,1.00,K. Drake RB - MIA ,17.50,T. Cohen RB - CHI ,0.00,C. Clement RB - PHI ,0.00,-,-,100.14,Peter,87.18
