Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,18.46,G. Bernard RB - CIN ,0.30,N. Chubb RB - CLE ,22.30,A. Thielen WR - MIN ,3.90,C. Davis WR - TEN ,1.40,M. Gesicki TE - MIA ,18.50,C. Ridley WR - ATL ,18.40,D. Carlson K - LV ,9.00,Seahawks DEF ,12.00,A. Peterson RB - DET ,3.00,C. Beasley WR - BUF Q ,4.10,D. Parker WR - MIA ,0.00,J. Smith TE - TEN ,2.30,Cardinals DEF ,18.00,Chargers DEF ,9.00,D. Brees QB - NO ,0.00,J. Mixon RB - CIN IR ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.26,Jeremy,81.98
david,12,T. Hill QB - NO Q ,18.94,M. Davis RB - CAR Q ,21.30,W. Gallman RB - NYG ,7.30,J. Landry WR - CLE ,5.68,M. Thomas WR - NO Q ,8.40,Z. Ertz TE - PHI ,0.80,J. Crowder WR - NYJ ,0.70,J. Tucker K - BAL ,9.00,Buccaneers DEF ,9.00,D. Carr QB - LV ,23.84,N. Agholor WR - LV ,16.00,J. Jacobs RB - LV ,7.40,D. Singletary RB - BUF ,3.40,Raiders DEF ,-4.00,C. Samuel WR - CAR ,9.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.12,Peter,111.30
Ryan,1,J. Allen QB - BUF ,18.32,A. Kamara RB - NO ,15.40,D. Swift RB - DET ,11.00,B. Cooks WR - HOU ,0.00,J. Jefferson WR - MIN ,5.90,T. Kelce TE - KC ,19.60,D. Samuel WR - SF Q ,0.90,Y. Koo K - ATL ,5.00,Saints DEF ,2.00,B. Perriman WR - NYJ ,2.60,K. Golladay WR - DET Q ,0.00,C. Edmonds RB - ARI ,5.30,C. Akers RB - LA ,19.40,Browns DEF ,0.00,Rams DEF ,21.00,D. Johnson RB - HOU ,0.00,R. Penny RB - SEA Q ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.12,-,-
alex,4,P. Mahomes QB - KC Q ,18.62,D. Johnson RB - HOU Q ,5.90,E. Elliott RB - DAL ,5.90,M. Evans WR - TB ,5.60,S. Diggs WR - BUF ,19.10,R. Tonyan TE - GB ,9.60,T. Patrick WR - DEN Q ,9.60,J. Slye K - CAR ,9.00,Ravens DEF ,0.00,M. Jones WR - DET ,4.80,J. McKissic RB - WAS ,8.60,S. Michel RB - NE ,2.20,D. Schultz TE - DAL ,3.40,G. Edwards RB - BAL ,17.30,T. Bass K - BUF ,8.00,D. Freeman RB ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.32,Neil,126.98
Alessandro,8,R. Wilson QB - SEA ,22.14,K. Drake RB - ARI ,15.00,D. Cook RB - MIN ,17.00,D. Chark WR - JAX Q ,1.60,A. Brown WR - TEN Q ,17.20,H. Henry TE - LAC ,4.10,L. Shenault WR - JAX ,5.10,J. Sanders K - MIA ,9.00,Colts DEF ,12.00,S. Shepard WR - NYG ,3.50,P. Barber RB - WAS ,3.80,B. Mayfield QB - CLE ,30.02,A. Mattison RB - MIN ,0.00,H. Renfrow WR - LV ,1.80,C. Lamb WR - DAL ,6.10,J. Gordon WR - SEA SUS ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.14,-,-
Daniel,10,D. Watson QB - HOU ,16.56,T. Gurley RB - ATL ,3.10,A. Ekeler RB - LAC Q ,14.60,A. Cooper WR - DAL Q ,11.10,K. Coutee WR - HOU ,6.40,E. Engram TE - NYG ,1.80,T. Johnson RB - NYJ ,1.60,W. Lutz K - NO ,3.00,Steelers DEF ,6.00,M. Stafford QB - DET ,14.36,J. Jones WR - ATL Q ,0.00,L. Fournette RB - TB ,0.00,M. Gallup WR - DAL ,2.30,J. Akins TE - HOU ,2.00,J. Meyers WR - NE ,4.70,J. Brown WR - BUF ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.16,Greg,95.62
Neil,5,B. Roethlisberger QB - PIT ,13.48,D. Henry RB - TEN ,36.20,A. Jones RB - GB Q ,7.50,A. Robinson WR - CHI ,18.30,J. Smith-Schuster WR - PIT ,11.50,H. Hurst TE - ATL ,0.70,J. Dobbins RB - BAL ,13.30,M. Crosby K - GB ,9.00,Bears DEF ,17.00,C. Wentz QB - PHI ,0.00,T. Higbee TE - LA ,3.40,M. Williams WR - LAC ,0.00,C. Kirk WR - ARI ,1.40,Z. Moss RB - BUF IR ,4.30,Broncos DEF ,10.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126.98,alex,83.32
michael,7,J. Goff QB - LA ,14.58,M. Gordon RB - DEN ,9.10,J. Williams RB - GB ,3.80,K. Allen WR - LAC ,11.20,D. Adams WR - GB ,17.50,D. Waller TE - LV ,7.50,T. Hill WR - KC ,23.10,M. Prater K - DET ,6.00,Bills DEF ,12.00,T. Brady QB - TB ,15.64,L. Bell RB - KC ,3.50,J. McKinnon RB - SF ,0.00,A. Hooper TE - CLE ,0.00,M. Trubisky QB - CHI ,24.98,Patriots DEF ,4.00,T. Cohen RB - CHI IR ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.78,-,-
Kevin,2,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,--empty--,-,M. Ryan QB - ATL ,7.26,P. Rivers QB - IND ,17.76,A. Brown WR - TB ,4.90,E. Ebron TE - PIT Q ,5.00,R. Mostert RB - SF IR ,7.00,D. Washington RB - MIA ,5.20,J. Conner RB - PIT ,1.80,C. McCaffrey RB - CAR Q ,0.00,C. Godwin WR - TB ,2.50,D. Goedert TE - PHI Q ,4.30,D. Montgomery RB - CHI ,21.50,D. Metcalf WR - SEA ,12.10,R. Blankenship K - IND ,14.00,Eagles DEF ,9.00,49ers DEF ,8.00,M. Gaskin RB - MIA ,0.00,0.00,-,-
Jeremy,6,R. Tannehill QB - TEN ,16.48,K. Hunt RB - CLE ,23.00,C. Carson RB - SEA ,15.80,C. Kupp WR - LA Q ,9.30,T. McLaurin WR - WAS ,2.40,N. Fant TE - DEN ,0.00,D. Johnson WR - PIT ,4.00,J. Myers K - SEA ,10.00,Giants DEF ,1.00,L. Murray RB - NO Q ,0.70,C. Hyde RB - SEA ,6.60,L. Thomas TE - WAS ,4.30,T. Pollard RB - DAL ,10.80,T. Higgins WR - CIN Q ,4.90,A. Gibson RB - WAS ,0.00,G. Kittle TE - SF ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.98,Peter,104.26
