Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,15.38,G. Bernard RB - CIN ,13.10,N. Chubb RB - CLE ,12.60,A. Thielen WR - MIN ,15.70,C. Davis WR - TEN ,0.00,M. Gesicki TE - MIA ,5.40,C. Ridley WR - ATL ,12.30,K. Fairbairn K - HOU ,7.00,Chiefs DEF ,7.00,C. Beasley WR - BUF Q ,1.70,D. Parker WR - MIA ,0.00,J. Smith TE - TEN ,9.00,C. Edmonds RB - ARI ,0.80,N. Hines RB - IND ,6.40,J. Mixon RB - CIN IR ,0.00,-,-,-,-,88.48,Ryan,164.80
david,12,M. Ryan QB - ATL ,19.90,M. Davis RB - CAR Q ,8.80,J. Jacobs RB - LV ,6.90,E. Sanders WR - NO ,9.50,C. Samuel WR - CAR ,15.80,T. Higbee TE - LA ,3.40,W. Gallman RB - NYG ,5.30,J. Tucker K - BAL ,9.00,Buccaneers DEF ,12.00,Z. Ertz TE - PHI ,3.30,J. Landry WR - CLE ,0.00,J. Crowder WR - NYJ ,22.32,N. Agholor WR - LV ,21.50,D. Singletary RB - BUF ,5.20,T. Tagovailoa QB - MIA ,8.86,-,-,-,-,90.60,Daniel,95.66
Ryan,1,J. Allen QB - BUF ,32.30,A. Kamara RB - NO ,53.20,D. Swift RB - DET ,5.00,B. Cooks WR - HOU ,20.10,J. Jefferson WR - MIN ,8.50,T. Kelce TE - KC ,15.80,D. Johnson RB - HOU ,25.90,Y. Koo K - ATL ,2.00,Browns DEF ,2.00,K. Golladay WR - DET Q ,0.00,D. Ozigbo RB - JAX ,0.40,S. Ahmed RB - MIA ,0.30,Rams DEF ,6.00,Cardinals DEF ,6.00,Football Team DEF ,9.00,-,-,-,-,164.80,Peter,88.48
alex,4,P. Mahomes QB - KC Q ,19.22,E. Elliott RB - DAL ,13.90,G. Edwards RB - BAL ,12.20,M. Evans WR - TB ,30.10,S. Diggs WR - BUF ,32.50,R. Tonyan TE - GB ,1.70,M. Jones WR - DET ,1.90,T. Bass K - BUF ,8.00,Ravens DEF ,10.00,D. Johnson RB - HOU Q ,0.00,J. McKissic RB - WAS ,15.20,T. Patrick WR - DEN Q ,3.90,S. Michel RB - NE ,6.90,D. Schultz TE - DAL ,2.10,J. Slye K - CAR ,2.00,D. Freeman RB ,0.00,-,-,129.52,Jeremy,72.14
Alessandro,8,B. Mayfield QB - CLE ,8.00,K. Drake RB - ARI ,11.00,D. Cook RB - MIN ,14.50,A. Brown WR - TEN Q ,4.30,C. Lamb WR - DAL ,20.40,H. Henry TE - LAC ,0.00,P. Barber RB - WAS ,1.00,J. Sanders K - MIA ,14.00,Colts DEF ,0.00,R. Wilson QB - SEA ,19.90,S. Shepard WR - NYG ,13.70,D. Chark WR - JAX Q ,12.20,A. Mattison RB - MIN ,0.00,H. Renfrow WR - LV ,3.40,L. Shenault WR - JAX ,10.80,J. Gordon WR - SEA SUS ,0.00,-,-,73.20,michael,95.72
Daniel,10,D. Watson QB - HOU ,26.76,L. Fournette RB - TB ,12.60,A. Ekeler RB - LAC Q ,12.80,A. Cooper WR - DAL Q ,12.10,K. Coutee WR - HOU ,5.40,E. Engram TE - NYG ,7.00,--empty--,-,W. Lutz K - NO ,10.00,Steelers DEF ,9.00,J. Cook TE - NO ,8.20,M. Stafford QB - DET ,0.68,J. Jones WR - ATL Q ,0.00,T. Gurley RB - ATL ,5.00,M. Gallup WR - DAL ,24.10,T. Johnson RB - NYJ ,1.30,J. Meyers WR - NE ,4.50,J. Brown WR - BUF ,0.00,95.66,david,90.60
Neil,5,B. Roethlisberger QB - PIT ,25.54,D. Henry RB - TEN ,9.80,A. Jones RB - GB Q ,10.80,A. Robinson WR - CHI ,10.30,J. Smith-Schuster WR - PIT ,15.60,H. Hurst TE - ATL ,10.70,J. Dobbins RB - BAL ,13.70,M. Crosby K - GB ,4.00,Bears DEF ,6.00,J. Reed TE - SF ,0.00,C. Wentz QB - PHI ,0.00,C. Kirk WR - ARI ,7.60,Z. Moss RB - BUF IR ,11.70,M. Gay K - LA ,11.00,Broncos DEF ,3.00,-,-,-,-,106.44,Kevin,102.68
michael,7,T. Brady QB - TB ,29.92,M. Gordon RB - DEN ,7.90,J. Williams RB - GB ,0.00,K. Allen WR - LAC ,0.00,D. Adams WR - GB ,32.20,D. Waller TE - LV ,11.20,T. Hill WR - KC ,6.50,M. Prater K - DET ,1.00,Bills DEF ,7.00,L. Bell RB - KC ,3.90,J. McKinnon RB - SF ,3.20,J. Goff QB - LA ,9.66,A. Hooper TE - CLE ,7.10,M. Trubisky QB - CHI ,23.60,Patriots DEF ,-4.00,T. Cohen RB - CHI IR ,0.00,-,-,95.72,Alessandro,73.20
Kevin,2,J. Hurts QB - PHI ,18.58,J. Wilson RB - SF ,26.40,D. Montgomery RB - CHI ,18.10,C. Godwin WR - TB ,14.40,D. Metcalf WR - SEA ,5.90,D. Goedert TE - PHI Q ,3.80,A. Brown WR - TB ,9.50,R. Blankenship K - IND ,6.00,Eagles DEF ,0.00,P. Rivers QB - IND ,10.80,E. Ebron TE - PIT Q ,10.70,J. Conner RB - PIT ,12.60,C. McCaffrey RB - CAR Q ,0.00,I. Smith RB - ATL ,5.10,Texans DEF ,-4.00,R. Mostert RB - SF IR ,0.00,M. Gaskin RB - MIA ,28.90,102.68,Neil,106.44
Jeremy,6,R. Tannehill QB - TEN ,16.34,K. Hunt RB - CLE ,11.20,C. Carson RB - SEA ,7.90,C. Kupp WR - LA Q ,6.60,T. McLaurin WR - WAS ,0.00,N. Fant TE - DEN ,6.50,D. Johnson WR - PIT ,13.60,J. Myers K - SEA ,8.00,Giants DEF ,2.00,L. Murray RB - NO Q ,9.60,C. Hyde RB - SEA ,2.60,L. Thomas TE - WAS ,6.30,T. Pollard RB - DAL ,2.00,T. Higgins WR - CIN Q ,15.90,A. Gibson RB - WAS ,6.90,G. Kittle TE - SF ,9.20,-,-,72.14,alex,129.52
