Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,9,D. Watson QB - CLE IR ,20.66,D. Henry RB - TEN ,11.90,K. Walker RB - SEA ,6.70,D. Adams WR - LV ,6.60,D. Metcalf WR - SEA ,10.70,G. Kittle TE - SF Q ,1.90,B. Robinson RB - WAS ,12.60,D. Carlson K - LV ,5.00,Seahawks DEF ,-1.00,G. Smith QB - SEA ,9.08,T. Boyd WR - CIN ,1.00,C. Godwin WR - TB ,5.10,T. Allgeier RB - ATL ,21.40,C. Okonkwo TE - TEN ,0.00,Q. Johnston WR - LAC ,0.90,-,-,75.06,david,112.94
david,1,J. Fields QB - CHI View News ,14.54,J. Mixon RB - CIN ,7.30,J. Dobbins RB - BAL IR ,9.70,J. Jefferson WR - MIN ,15.00,A. St. Brown WR - DET ,13.10,D. Goedert TE - PHI ,0.00,J. Cook RB - BUF ,6.30,J. Sanders K - MIA ,12.00,Cowboys DEF ,35.00,S. Perine RB - DEN ,7.80,C. Sutton WR - DEN Q ,9.20,D. Singletary RB - HOU ,1.50,E. Moore WR - CLE ,6.20,T. Burks WR - TEN ,2.70,R. Johnson RB - CHI ,11.50,-,-,112.94,Peter,75.06
Ryan,10,J. Burrow QB - CIN IR ,3.18,N. Chubb RB - CLE IR ,12.70,A. Mattison RB - MIN ,10.40,D. Johnson WR - PIT ,4.80,G. Wilson WR - NYJ Q ,9.40,T. Higbee TE - LA IA ,4.90,A. Dillon RB - GB IA ,3.60,B. McManus K - JAX ,7.00,Commanders DEF ,11.00,A. Kamara RB - NO IA ,0.00,I. Hodgins WR - NYG ,0.40,E. Mitchell RB - SF ,1.00,S. LaPorta TE - DET Q ,3.90,J. Reed WR - GB ,4.60,J. Smith-Njigba WR - SEA ,1.30,C. Kupp WR - LA IA ,0.00,66.98,Alessandro,79.14
alex,2,T. Lawrence QB - JAX ,17.74,A. Ekeler RB - LAC ,22.40,J. Gibbs RB - DET ,6.00,M. Williams WR - LAC IR ,4.50,C. Ridley WR - JAX ,16.10,E. Engram TE - JAX ,4.90,K. Herbert RB - CHI ,8.40,G. Zuerlein K - NYJ ,10.00,49ers DEF ,13.00,C. Patterson RB - ATL ,0.00,M. Evans WR - TB ,12.60,M. Thomas WR - NO IR ,6.10,G. Edwards RB - BAL ,5.20,D. Harris RB - BUF IR ,1.90,D. Kincaid TE - BUF ,2.60,-,-,103.04,Greg,56.86
Alessandro,6,J. Allen QB - BUF ,9.04,D. Cook RB - BAL ,5.90,D. Pierce RB - HOU ,4.70,D. Hopkins WR - TEN ,6.50,T. Hill WR - MIA ,35.50,D. Schultz TE - HOU ,0.40,T. McLaurin WR - WAS ,3.10,T. Bass K - BUF ,12.00,Dolphins DEF ,2.00,M. Andrews TE - BAL IR ,0.00,M. Pittman WR - IND ,15.70,D. Jackson RB - NYG ,-1.20,Z. Flowers WR - BAL IA ,8.70,D. Vaughn RB - DAL IR ,0.80,E. Hull RB - IND IR ,0.70,J. Wilson RB - MIA ,0.00,79.14,Ryan,66.98
Daniel,4,J. Hurts QB - PHI Q ,12.50,A. Jones RB - GB ,24.70,T. Etienne RB - JAX ,16.40,C. Kirk WR - JAX IA ,0.90,A. Brown WR - PHI Q ,7.90,D. Njoku TE - CLE ,2.40,J. Conner RB - ARI ,7.00,H. Butker K - KC ,8.00,Eagles DEF ,13.00,J. Smith-Schuster WR - NE IR ,3.30,M. Hardman WR - KC ,0.00,Z. Moss RB - IND ,0.00,J. Jeudy WR - DEN ,0.00,K. Williams RB - LA IA ,17.40,K. Murray QB - ARI ,0.00,-,-,92.80,michael,78.94
Neil,3,K. Cousins QB - MIN IR ,16.46,D. Montgomery RB - DET ,13.40,B. Robinson RB - ATL ,14.30,D. Moore WR - CHI ,2.50,D. Samuel WR - SF ,6.30,T. Hockenson TE - MIN IR ,3.50,T. Pollard RB - DAL ,20.20,J. Elliott K - PHI ,17.00,Patriots DEF ,6.00,D. Prescott QB - DAL ,6.32,A. Lazard WR - NYJ IA ,4.60,R. Penny RB - PHI ,0.00,M. Brown WR - ARI IR ,5.70,J. Johnson TE - NO ,3.60,J. Dotson WR - WAS ,4.00,-,-,99.66,Kevin,79.36
michael,8,T. Tagovailoa QB - MIA ,29.14,R. Stevenson RB - NE IR ,8.90,I. Pacheco RB - KC ,5.40,J. Chase WR - CIN ,4.10,J. Waddle WR - MIA IA ,7.80,K. Pitts TE - ATL ,4.40,K. Allen WR - LAC IA ,8.20,J. Myers K - SEA ,6.00,Bills DEF ,5.00,R. Wilson QB - DEN View News ,15.18,O. Beckham WR - BAL IA ,3.70,R. Mostert RB - MIA IA ,11.00,G. Davis WR - BUF Q ,3.20,J. Williams WR - DET IA ,0.00,J. Mingo WR - CAR IR ,1.70,-,-,78.94,Daniel,92.80
Kevin,7,J. Herbert QB - LAC IR ,20.86,C. McCaffrey RB - SF IA ,22.90,M. Sanders RB - CAR ,7.80,T. Higgins WR - CIN IA ,0.00,C. Olave WR - NO ,11.20,P. Freiermuth TE - PIT ,6.30,D. Swift RB - PHI IA ,0.30,E. McPherson K - CIN ,3.00,Bengals DEF ,7.00,R. Bateman WR - BAL ,3.50,N. Collins WR - HOU ,8.00,D. London WR - ATL ,0.00,L. Musgrave TE - GB ,5.00,A. Richardson QB - IND IR ,20.92,Z. Charbonnet RB - SEA ,1.10,-,-,79.36,Neil,99.66
Jeremy,12,D. Jones QB - NYG IR ,4.46,S. Barkley RB - NYG ,6.30,N. Harris RB - PIT ,3.30,A. Cooper WR - CLE IA ,3.70,S. Diggs WR - BUF ,16.20,D. Waller TE - NYG ,3.60,T. Lockett WR - SEA ,1.00,Y. Koo K - ATL ,6.00,Saints DEF ,10.00,J. Meyers WR - LV ,20.10,A. Gibson RB - WAS ,-0.10,M. Mims WR - DEN ,0.90,D. Achane RB - MIA ,0.00,J. Addison WR - MIN ,12.10,K. Miller RB - NO ,0.00,-,-,54.56,Peter,80.04
Peter,5,P. Mahomes QB - KC IA ,19.54,J. Williams RB - DEN ,5.70,B. Hall RB - NYJ ,14.70,C. Lamb WR - DAL ,7.70,K. Toney WR - KC IA ,0.00,G. Dulcich TE - DEN IR ,2.20,J. Williams RB - NO ,5.20,J. Tucker K - BAL ,5.00,Jets DEF ,20.00,A. Rodgers QB - NYJ IA ,0.00,B. Cooks WR - DAL ,2.20,C. Kmet TE - CHI Q ,4.40,K. Gainwell RB - PHI ,7.40,C. Watson WR - GB IA ,0.00,J. Taylor RB - IND ,0.00,-,-,80.04,Jeremy,54.56
Greg,11,L. Jackson QB - BAL IA ,6.56,C. Akers RB - MIN IR ,8.90,R. White RB - TB ,4.90,D. Smith WR - PHI IA ,10.70,S. Moore WR - KC IR ,0.40,G. Everett TE - LAC Q ,2.30,J. Jacobs RB - LV IA ,7.10,G. Joseph K - MIN ,5.00,Ravens DEF ,11.00,T. Kelce TE - KC IA ,0.00,K. Hunt RB - CLE ,0.00,B. Aiyuk WR - SF ,24.90,G. Pickens WR - PIT ,3.60,J. Warren RB - PIT ,1.80,R. Rice WR - KC IA ,8.60,-,-,56.86,alex,103.04
