Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Peter,2,N. Mullens QB - MIN ,18.54,D. Henry RB - TEN ,20.38,K. Walker RB - SEA ,5.60,D. Hopkins WR - TEN ,2.00,D. Metcalf WR - SEA ,11.60,T. McBride TE - ARI ,3.10,D. Adams WR - LV ,0.40,D. Hopkins K - CLE IA ,2.00,Broncos DEF ,5.00,C. Godwin WR - TB ,7.90,G. Kittle TE - SF Q ,12.60,B. Mayfield QB - TB ,19.82,E. Mitchell RB - SF ,0.00,B. Robinson RB - WAS ,0.00,C. Stroud QB - HOU ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,68.62,Greg,91.58
david,4,J. Fields QB - CHI View News ,24.50,J. Mixon RB - CIN ,7.00,J. Cook RB - BUF ,5.00,J. Jefferson WR - MIN ,20.10,A. St. Brown WR - DET ,16.60,D. Goedert TE - PHI ,7.10,T. Chandler RB - MIN ,7.70,B. McManus K - JAX ,0.00,Cowboys DEF ,1.00,D. Foreman RB - CHI IA ,0.00,C. Sutton WR - DEN Q ,0.00,K. Gainwell RB - PHI ,7.90,P. Freiermuth TE - PIT ,0.00,R. Doubs WR - GB Q ,13.90,Saints DEF ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,89.00,-,-
Ryan,7,J. Goff QB - DET ,14.28,E. Elliott RB - NE ,12.00,A. Kamara RB - NO IA ,3.50,C. Kupp WR - LA IA ,4.90,P. Nacua WR - LA ,24.00,S. LaPorta TE - DET Q ,1.80,G. Wilson WR - NYJ Q ,6.80,B. Aubrey K - DAL ,8.00,Texans DEF ,7.00,D. Johnson WR - PIT ,1.50,A. Mattison RB - MIN ,-0.10,J. Love QB - GB ,23.96,E. Moore WR - CLE ,1.90,T. Allgeier RB - ATL ,14.80,J. Ford RB - CLE ,8.30,-,-,-,-,-,-,-,-,-,-,-,-,82.28,michael,77.92
alex,3,B. Purdy QB - SF IA ,2.40,A. Ekeler RB - LAC ,8.60,J. Gibbs RB - DET ,20.00,M. Evans WR - TB ,20.60,C. Ridley WR - JAX ,19.80,E. Engram TE - JAX ,7.50,O. Beckham WR - BAL IA ,1.30,R. Patterson K - CLE ,0.00,Dolphins DEF ,7.00,D. Schultz TE - HOU ,6.10,G. Edwards RB - BAL ,13.00,A. Dillon RB - GB IA ,7.20,K. Herbert RB - CHI ,18.10,W. Levis QB - TEN IA ,0.00,49ers DEF ,3.00,-,-,-,-,-,-,-,-,-,-,-,-,87.20,-,-
Alessandro,11,J. Allen QB - BUF ,24.98,--empty--,-,--empty--,-,T. Hill WR - MIA ,9.90,--empty--,-,--empty--,-,--empty--,-,--empty--,-,Bears DEF ,3.00,N. Brown WR - HOU IA ,3.80,Z. Moss RB - IND ,0.00,M. Pittman WR - IND ,0.00,D. London WR - ATL ,3.90,C. Okonkwo TE - TEN ,12.30,Z. Flowers WR - BAL IA ,13.20,D. Kincaid TE - BUF ,0.70,T. Spears RB - TEN ,6.70,D. Achane RB - MIA ,3.10,K. Fairbairn K - HOU ,2.00,J. Sanders K - MIA ,22.00,A. Richardson QB - IND IR ,0.00,37.88,-,-
Daniel,5,J. Hurts QB - PHI Q ,23.44,T. Etienne RB - JAX ,3.10,K. Williams RB - LA IA ,16.40,A. Cooper WR - CLE IA ,42.50,A. Brown WR - PHI Q ,8.00,D. Njoku TE - CLE ,10.40,J. Conner RB - ARI ,17.20,H. Butker K - KC ,1.00,Eagles DEF ,4.00,M. Mariota QB - PHI ,0.00,A. Jones RB - GB ,13.50,K. Murray QB - ARI ,20.40,D. Pierce RB - HOU ,7.60,D. Wicks WR - GB ,8.90,Colts DEF ,0.00,C. Kirk WR - JAX IA ,0.00,-,-,-,-,-,-,-,-,-,-,126.04,Neil,68.02
Neil,1,D. Prescott QB - DAL ,18.62,D. Montgomery RB - DET ,12.90,B. Robinson RB - ATL ,12.20,D. Moore WR - CHI ,1.80,D. Samuel WR - SF ,5.40,T. Hockenson TE - MIN IR ,5.80,T. Pollard RB - DAL ,4.30,T. Bass K - BUF ,6.00,Jaguars DEF ,1.00,A. Lazard WR - NYJ IA ,0.00,M. Brown WR - ARI IR ,0.00,J. Ferguson TE - DAL ,4.50,J. Dotson WR - WAS ,3.10,J. Elliott K - PHI ,15.00,Patriots DEF ,15.00,K. Cousins QB - MIN IR ,0.00,-,-,-,-,-,-,-,-,-,-,68.02,Daniel,126.04
michael,10,T. Tagovailoa QB - MIA ,15.52,R. Mostert RB - MIA IA ,11.00,D. Singletary RB - HOU ,6.30,G. Davis WR - BUF Q ,19.00,J. Chase WR - CIN ,0.00,K. Pitts TE - ATL ,10.90,J. Addison WR - MIN ,0.20,J. Myers K - SEA ,8.00,Chargers DEF ,7.00,R. Wilson QB - DEN View News ,23.52,K. Allen WR - LAC IA ,0.00,K. Hunt RB - CLE ,7.60,S. Perine RB - DEN ,2.90,I. Pacheco RB - KC ,6.60,Bills DEF ,5.00,L. Musgrave TE - GB ,0.00,-,-,-,-,-,-,-,-,-,-,77.92,Ryan,82.28
Kevin,9,M. Stafford QB - LA IA ,20.72,C. McCaffrey RB - SF IA ,19.10,D. Swift RB - PHI IA ,15.20,T. Higgins WR - CIN IA ,20.00,C. Olave WR - NO ,14.30,G. Everett TE - LAC Q ,4.20,R. Rice WR - KC IA ,5.70,E. McPherson K - CIN ,3.00,Browns DEF ,7.00,L. Murray RB - BUF IA ,0.00,A. Gibson RB - WAS ,9.20,N. Collins WR - HOU ,9.80,J. Reed WR - GB ,0.00,J. Downs WR - IND ,3.90,Z. Charbonnet RB - SEA ,-0.40,J. Herbert QB - LAC IR ,0.00,-,-,-,-,-,-,-,-,-,-,109.22,Jeremy,75.18
Jeremy,8,G. Smith QB - SEA ,17.28,S. Barkley RB - NYG ,16.40,N. Harris RB - PIT ,13.80,S. Diggs WR - BUF ,2.90,J. Meyers WR - LV ,4.20,I. Likely TE - BAL ,5.60,T. McLaurin WR - WAS ,5.00,M. Gay K - IND ,4.00,Chiefs DEF ,6.00,T. Lockett WR - SEA ,8.10,M. Sanders RB - CAR ,0.80,R. Stevenson RB - NE IR ,0.00,S. Howell QB - WAS ,-1.76,R. Shaheed WR - NO ,13.40,Vikings DEF ,2.00,M. Andrews TE - BAL IR ,0.00,-,-,-,-,-,-,-,-,-,-,75.18,Kevin,109.22
Peter,12,P. Mahomes QB - KC IA ,16.70,C. Hubbard RB - CAR ,11.10,B. Hall RB - NYJ ,31.10,B. Cooks WR - DAL ,8.30,C. Lamb WR - DAL ,19.20,C. Kmet TE - CHI Q ,10.70,J. Taylor RB - IND ,10.30,J. Tucker K - BAL ,15.00,Jets DEF ,6.00,C. Edwards-Helaire RB - KC ,4.80,J. Kelley RB - LAC ,-0.20,J. Williams RB - DEN ,7.90,R. Moore WR - ARI ,3.60,C. Watson WR - GB IA ,0.00,N. Folk K - TEN ,5.00,-,-,-,-,-,-,-,-,-,-,-,-,128.40,-,-
Greg,6,L. Jackson QB - BAL IA ,22.58,Z. White RB - LV ,14.50,R. White RB - TB ,13.70,B. Aiyuk WR - SF ,11.30,J. Waddle WR - MIA IA ,5.20,T. Kelce TE - KC IA ,4.40,D. Smith WR - PHI IA ,13.90,J. Moody K - SF ,5.00,Packers DEF ,1.00,A. Thielen WR - CAR ,9.40,T. Hill TE - NO ,0.20,J. Jacobs RB - LV IA ,0.00,T. Lawrence QB - JAX ,9.34,J. Warren RB - PIT ,5.40,Ravens DEF ,15.00,-,-,-,-,-,-,-,-,-,-,-,-,91.58,Peter,68.62
